Age,Gender,Day_of_Week,Session_Type,Tattoo_Size,Tattoo_Style,Artist_Name
52,Female,Monday,Pre-booked,Large,Realism,Artist A
49,Male,Saturday,Walk-in,Small,Script,Artist E
44,Male,Friday,Pre-booked,Large,Minimalist,Artist B
58,Female,Friday,Pre-booked,Large,Realism,Artist B
35,Female,Friday,Pre-booked,Sleeve/Back,Minimalist,Artist A
30,Male,Thursday,Walk-in,Sleeve/Back,Custom,Artist C
41,Male,Thursday,Pre-booked,Large,Script,Artist B
36,Female,Thursday,Pre-booked,Large,Script,Artist A
24,Female,Friday,Walk-in,Sleeve/Back,Script,Artist C
28,Male,Monday,Walk-in,Small,Realism,Artist D
27,Male,Tuesday,Walk-in,Sleeve/Back,Script,Artist C
59,Male,Monday,Walk-in,Sleeve/Back,Minimalist,Artist C
49,Male,Monday,Pre-booked,Large,Script,Artist E
19,Male,Friday,Walk-in,Small,Minimalist,Artist B
19,Male,Friday,Pre-booked,Sleeve/Back,Script,Artist E
44,Female,Saturday,Pre-booked,Sleeve/Back,Minimalist,Artist B
34,Male,Saturday,Pre-booked,Sleeve/Back,Custom,Artist D
31,Female,Monday,Pre-booked,Small,Minimalist,Artist C
24,Female,Monday,Walk-in,Medium,Custom,Artist E
32,Male,Sunday,Pre-booked,Large,Minimalist,Artist D
50,Female,Monday,Pre-booked,Small,Custom,Artist E
23,Female,Wednesday,Walk-in,Large,Minimalist,Artist D
22,Female,Monday,Walk-in,Large,Realism,Artist B
44,Female,Saturday,Walk-in,Sleeve/Back,Realism,Artist D
24,Female,Thursday,Walk-in,Small,Realism,Artist D
40,Male,Tuesday,Pre-booked,Small,Realism,Artist C
50,Male,Saturday,Walk-in,Large,Minimalist,Artist C
35,Female,Thursday,Walk-in,Small,Realism,Artist A
45,Male,Thursday,Pre-booked,Small,Script,Artist A
52,Female,Sunday,Pre-booked,Large,Custom,Artist C
27,Female,Saturday,Pre-booked,Medium,Custom,Artist D
25,Male,Sunday,Pre-booked,Sleeve/Back,Realism,Artist C
41,Male,Thursday,Walk-in,Large,Minimalist,Artist C
31,Male,Friday,Walk-in,Medium,Script,Artist C
18,Male,Friday,Pre-booked,Small,Realism,Artist C
40,Female,Saturday,Pre-booked,Sleeve/Back,Minimalist,Artist E
32,Female,Sunday,Walk-in,Small,Minimalist,Artist C
31,Female,Monday,Walk-in,Sleeve/Back,Script,Artist D
47,Male,Friday,Walk-in,Large,Script,Artist D
23,Male,Monday,Pre-booked,Large,Realism,Artist D
22,Male,Sunday,Pre-booked,Small,Minimalist,Artist A
29,Female,Tuesday,Pre-booked,Sleeve/Back,Minimalist,Artist B
28,Male,Monday,Pre-booked,Medium,Script,Artist E
32,Male,Sunday,Walk-in,Medium,Script,Artist E
42,Female,Wednesday,Pre-booked,Sleeve/Back,Custom,Artist C
39,Male,Saturday,Pre-booked,Small,Minimalist,Artist A
42,Female,Sunday,Walk-in,Medium,Realism,Artist B
19,Male,Friday,Pre-booked,Large,Custom,Artist D
21,Female,Saturday,Walk-in,Large,Realism,Artist B
49,Male,Wednesday,Pre-booked,Large,Realism,Artist A
48,Female,Monday,Walk-in,Sleeve/Back,Custom,Artist D
46,Male,Sunday,Pre-booked,Small,Minimalist,Artist C
59,Male,Saturday,Walk-in,Small,Custom,Artist E
18,Male,Friday,Pre-booked,Large,Script,Artist A
47,Male,Sunday,Walk-in,Small,Script,Artist B
55,Female,Monday,Pre-booked,Sleeve/Back,Minimalist,Artist C
42,Male,Saturday,Walk-in,Medium,Custom,Artist B
29,Female,Saturday,Walk-in,Medium,Realism,Artist B
29,Female,Monday,Pre-booked,Small,Script,Artist C
55,Female,Tuesday,Pre-booked,Large,Realism,Artist E
36,Female,Sunday,Pre-booked,Medium,Custom,Artist D
47,Male,Tuesday,Walk-in,Small,Script,Artist E
48,Female,Wednesday,Walk-in,Medium,Script,Artist B
35,Male,Tuesday,Walk-in,Medium,Minimalist,Artist C
30,Female,Wednesday,Walk-in,Large,Realism,Artist D
21,Female,Tuesday,Pre-booked,Small,Minimalist,Artist E
22,Female,Thursday,Pre-booked,Large,Custom,Artist E
19,Female,Friday,Pre-booked,Medium,Script,Artist E
54,Male,Monday,Walk-in,Large,Minimalist,Artist D
29,Male,Wednesday,Walk-in,Sleeve/Back,Custom,Artist E
39,Male,Saturday,Walk-in,Large,Custom,Artist B
39,Female,Monday,Pre-booked,Sleeve/Back,Realism,Artist C
23,Female,Thursday,Walk-in,Sleeve/Back,Custom,Artist E
47,Male,Tuesday,Pre-booked,Sleeve/Back,Script,Artist C
25,Female,Tuesday,Pre-booked,Medium,Realism,Artist D
49,Male,Wednesday,Pre-booked,Medium,Script,Artist E
43,Female,Friday,Pre-booked,Small,Custom,Artist A
54,Male,Monday,Walk-in,Sleeve/Back,Minimalist,Artist D
33,Male,Wednesday,Pre-booked,Medium,Custom,Artist A
52,Male,Sunday,Pre-booked,Large,Custom,Artist A
23,Male,Wednesday,Pre-booked,Large,Minimalist,Artist D
57,Male,Sunday,Walk-in,Sleeve/Back,Minimalist,Artist B
53,Male,Monday,Pre-booked,Medium,Custom,Artist E
33,Female,Monday,Walk-in,Small,Realism,Artist A
50,Male,Saturday,Pre-booked,Sleeve/Back,Script,Artist C
27,Male,Thursday,Pre-booked,Large,Minimalist,Artist E
27,Female,Sunday,Walk-in,Large,Realism,Artist C
28,Male,Tuesday,Walk-in,Medium,Script,Artist A
56,Male,Monday,Pre-booked,Sleeve/Back,Script,Artist A
45,Male,Friday,Walk-in,Small,Script,Artist A
40,Female,Thursday,Pre-booked,Medium,Script,Artist A
34,Female,Tuesday,Walk-in,Large,Minimalist,Artist D
43,Male,Monday,Walk-in,Medium,Minimalist,Artist B
41,Female,Tuesday,Pre-booked,Small,Custom,Artist D
29,Male,Sunday,Pre-booked,Small,Custom,Artist A
44,Male,Sunday,Walk-in,Sleeve/Back,Script,Artist E
42,Female,Monday,Pre-booked,Sleeve/Back,Custom,Artist D
21,Female,Thursday,Walk-in,Sleeve/Back,Realism,Artist B
40,Male,Friday,Walk-in,Large,Script,Artist A
45,Female,Sunday,Walk-in,Large,Script,Artist A
31,Female,Monday,Walk-in,Small,Custom,Artist A
55,Male,Friday,Walk-in,Medium,Realism,Artist A
42,Male,Tuesday,Walk-in,Medium,Realism,Artist A
51,Male,Tuesday,Pre-booked,Small,Minimalist,Artist C
49,Female,Thursday,Walk-in,Small,Custom,Artist C
57,Female,Saturday,Walk-in,Sleeve/Back,Script,Artist D
47,Male,Wednesday,Walk-in,Small,Custom,Artist B
24,Male,Tuesday,Walk-in,Medium,Custom,Artist E
45,Female,Thursday,Pre-booked,Large,Custom,Artist B
54,Male,Tuesday,Pre-booked,Medium,Custom,Artist B
40,Male,Thursday,Pre-booked,Large,Realism,Artist E
23,Male,Sunday,Walk-in,Sleeve/Back,Realism,Artist C
21,Female,Saturday,Walk-in,Large,Minimalist,Artist D
43,Female,Thursday,Walk-in,Small,Custom,Artist A
34,Male,Monday,Walk-in,Medium,Minimalist,Artist B
23,Male,Saturday,Pre-booked,Sleeve/Back,Script,Artist A
48,Male,Sunday,Walk-in,Medium,Custom,Artist E
44,Female,Tuesday,Pre-booked,Medium,Custom,Artist C
22,Male,Friday,Walk-in,Medium,Realism,Artist A
36,Female,Monday,Pre-booked,Small,Script,Artist B
24,Female,Monday,Walk-in,Large,Custom,Artist B
57,Male,Tuesday,Pre-booked,Sleeve/Back,Minimalist,Artist D
39,Female,Monday,Pre-booked,Medium,Minimalist,Artist A
37,Male,Sunday,Pre-booked,Large,Script,Artist C
34,Male,Monday,Pre-booked,Sleeve/Back,Realism,Artist D
38,Female,Friday,Pre-booked,Large,Realism,Artist A
30,Male,Thursday,Walk-in,Medium,Realism,Artist B
43,Male,Friday,Pre-booked,Small,Realism,Artist B
53,Male,Thursday,Pre-booked,Small,Realism,Artist E
34,Female,Friday,Pre-booked,Large,Custom,Artist A
36,Female,Wednesday,Pre-booked,Small,Realism,Artist E
29,Female,Wednesday,Pre-booked,Sleeve/Back,Custom,Artist B
33,Female,Saturday,Pre-booked,Sleeve/Back,Script,Artist D
40,Female,Saturday,Walk-in,Sleeve/Back,Script,Artist B
41,Female,Monday,Pre-booked,Medium,Script,Artist E
44,Female,Thursday,Pre-booked,Small,Custom,Artist B
29,Female,Friday,Pre-booked,Medium,Minimalist,Artist E
30,Female,Monday,Pre-booked,Medium,Realism,Artist D
20,Male,Saturday,Walk-in,Large,Minimalist,Artist C
38,Male,Saturday,Walk-in,Sleeve/Back,Custom,Artist B
47,Female,Saturday,Pre-booked,Sleeve/Back,Realism,Artist D
54,Male,Thursday,Walk-in,Large,Script,Artist A
54,Male,Friday,Walk-in,Small,Minimalist,Artist B
56,Male,Friday,Pre-booked,Sleeve/Back,Script,Artist C
44,Female,Friday,Pre-booked,Medium,Script,Artist C
51,Male,Friday,Pre-booked,Large,Script,Artist B
55,Male,Friday,Pre-booked,Small,Minimalist,Artist A
28,Male,Sunday,Walk-in,Small,Realism,Artist C
26,Male,Thursday,Pre-booked,Small,Realism,Artist A
27,Female,Sunday,Pre-booked,Small,Custom,Artist D
32,Female,Friday,Walk-in,Large,Realism,Artist C
22,Female,Tuesday,Pre-booked,Large,Realism,Artist D
19,Female,Monday,Walk-in,Large,Custom,Artist A
18,Male,Monday,Pre-booked,Sleeve/Back,Realism,Artist C
31,Male,Tuesday,Pre-booked,Large,Custom,Artist D
18,Female,Wednesday,Pre-booked,Medium,Minimalist,Artist D
31,Male,Thursday,Pre-booked,Large,Realism,Artist B
56,Male,Wednesday,Pre-booked,Sleeve/Back,Minimalist,Artist D
45,Female,Tuesday,Pre-booked,Medium,Script,Artist C
32,Female,Tuesday,Walk-in,Sleeve/Back,Minimalist,Artist D
54,Male,Monday,Walk-in,Sleeve/Back,Script,Artist A
42,Male,Tuesday,Walk-in,Small,Script,Artist A
50,Female,Friday,Pre-booked,Small,Script,Artist B
22,Male,Monday,Walk-in,Small,Realism,Artist A
40,Male,Saturday,Walk-in,Sleeve/Back,Realism,Artist D
54,Male,Wednesday,Pre-booked,Sleeve/Back,Custom,Artist E
27,Male,Saturday,Walk-in,Medium,Script,Artist B
57,Female,Monday,Walk-in,Medium,Custom,Artist B
55,Male,Sunday,Walk-in,Large,Minimalist,Artist B
49,Female,Wednesday,Pre-booked,Medium,Custom,Artist B
30,Male,Saturday,Pre-booked,Large,Custom,Artist B
27,Female,Saturday,Walk-in,Sleeve/Back,Minimalist,Artist A
32,Female,Wednesday,Pre-booked,Medium,Custom,Artist E
41,Male,Thursday,Walk-in,Sleeve/Back,Minimalist,Artist A
41,Female,Tuesday,Pre-booked,Sleeve/Back,Custom,Artist E
53,Female,Saturday,Walk-in,Large,Realism,Artist A
39,Male,Wednesday,Pre-booked,Small,Realism,Artist A
26,Female,Friday,Pre-booked,Small,Script,Artist C
59,Male,Saturday,Pre-booked,Small,Realism,Artist A
49,Female,Thursday,Pre-booked,Sleeve/Back,Realism,Artist A
24,Female,Friday,Walk-in,Sleeve/Back,Minimalist,Artist A
25,Female,Monday,Walk-in,Small,Custom,Artist A
31,Male,Thursday,Walk-in,Sleeve/Back,Custom,Artist C
29,Female,Friday,Pre-booked,Large,Minimalist,Artist E
57,Female,Monday,Pre-booked,Sleeve/Back,Realism,Artist C
39,Male,Friday,Walk-in,Small,Realism,Artist E
41,Female,Friday,Pre-booked,Medium,Minimalist,Artist A
58,Female,Wednesday,Pre-booked,Medium,Script,Artist B
32,Male,Saturday,Walk-in,Medium,Script,Artist A
38,Female,Friday,Pre-booked,Medium,Realism,Artist D
46,Male,Thursday,Pre-booked,Large,Realism,Artist C
49,Female,Sunday,Walk-in,Medium,Custom,Artist A
51,Female,Tuesday,Walk-in,Sleeve/Back,Minimalist,Artist C
20,Female,Sunday,Walk-in,Small,Script,Artist A
45,Female,Friday,Pre-booked,Sleeve/Back,Custom,Artist C
31,Female,Monday,Walk-in,Medium,Minimalist,Artist D
36,Male,Wednesday,Walk-in,Large,Realism,Artist E
57,Male,Wednesday,Walk-in,Large,Realism,Artist B
54,Female,Tuesday,Pre-booked,Large,Script,Artist B
41,Male,Thursday,Pre-booked,Medium,Custom,Artist C
26,Female,Friday,Pre-booked,Medium,Realism,Artist D
48,Female,Tuesday,Walk-in,Medium,Custom,Artist D
25,Female,Sunday,Walk-in,Large,Realism,Artist E
59,Female,Saturday,Pre-booked,Medium,Minimalist,Artist D
23,Male,Tuesday,Walk-in,Small,Minimalist,Artist A
54,Female,Friday,Walk-in,Small,Custom,Artist E
18,Male,Sunday,Pre-booked,Medium,Realism,Artist D
21,Female,Friday,Pre-booked,Medium,Custom,Artist C
39,Female,Wednesday,Pre-booked,Small,Custom,Artist A
57,Male,Sunday,Pre-booked,Large,Realism,Artist C
38,Female,Friday,Walk-in,Medium,Minimalist,Artist E
59,Male,Wednesday,Walk-in,Medium,Realism,Artist C
21,Male,Thursday,Walk-in,Sleeve/Back,Script,Artist D
30,Male,Thursday,Walk-in,Small,Realism,Artist C
57,Female,Tuesday,Pre-booked,Medium,Script,Artist A
25,Male,Saturday,Walk-in,Medium,Minimalist,Artist D
36,Female,Tuesday,Pre-booked,Small,Minimalist,Artist E
33,Female,Monday,Walk-in,Small,Custom,Artist E
38,Male,Saturday,Walk-in,Medium,Realism,Artist B
37,Male,Saturday,Pre-booked,Sleeve/Back,Realism,Artist C
59,Male,Saturday,Walk-in,Sleeve/Back,Custom,Artist D
34,Male,Thursday,Pre-booked,Medium,Script,Artist B
34,Male,Wednesday,Walk-in,Small,Custom,Artist A
29,Female,Monday,Pre-booked,Medium,Realism,Artist B
36,Male,Sunday,Walk-in,Large,Script,Artist D
24,Male,Monday,Pre-booked,Small,Custom,Artist A
54,Female,Friday,Walk-in,Sleeve/Back,Minimalist,Artist D
34,Male,Monday,Walk-in,Medium,Script,Artist E
37,Female,Sunday,Pre-booked,Small,Minimalist,Artist B
19,Female,Thursday,Pre-booked,Sleeve/Back,Realism,Artist D
46,Female,Sunday,Pre-booked,Medium,Minimalist,Artist E
18,Male,Saturday,Walk-in,Large,Realism,Artist C
52,Male,Thursday,Pre-booked,Large,Script,Artist C
18,Male,Wednesday,Walk-in,Medium,Custom,Artist A
28,Female,Sunday,Pre-booked,Sleeve/Back,Minimalist,Artist D
51,Female,Saturday,Walk-in,Small,Custom,Artist D
20,Male,Friday,Pre-booked,Small,Custom,Artist A
19,Male,Saturday,Walk-in,Large,Script,Artist B
39,Male,Monday,Pre-booked,Small,Custom,Artist D
52,Female,Wednesday,Walk-in,Small,Realism,Artist B
31,Male,Monday,Walk-in,Small,Realism,Artist E
22,Male,Friday,Pre-booked,Sleeve/Back,Script,Artist C
23,Male,Monday,Pre-booked,Large,Realism,Artist B
43,Male,Monday,Walk-in,Small,Realism,Artist D
58,Male,Sunday,Pre-booked,Small,Custom,Artist B
48,Male,Thursday,Pre-booked,Small,Minimalist,Artist C
38,Female,Sunday,Pre-booked,Large,Minimalist,Artist D
44,Female,Tuesday,Walk-in,Large,Realism,Artist E
20,Male,Thursday,Walk-in,Large,Minimalist,Artist B
55,Male,Thursday,Pre-booked,Small,Minimalist,Artist B
57,Male,Sunday,Walk-in,Sleeve/Back,Realism,Artist B
31,Male,Monday,Walk-in,Sleeve/Back,Custom,Artist A
42,Female,Sunday,Pre-booked,Small,Minimalist,Artist E
18,Female,Wednesday,Walk-in,Small,Minimalist,Artist E
24,Female,Tuesday,Walk-in,Medium,Realism,Artist E
46,Female,Sunday,Walk-in,Small,Script,Artist A
33,Female,Saturday,Pre-booked,Small,Minimalist,Artist C
35,Female,Sunday,Pre-booked,Small,Script,Artist B
29,Male,Thursday,Walk-in,Sleeve/Back,Realism,Artist E
59,Male,Monday,Pre-booked,Sleeve/Back,Realism,Artist C
19,Male,Saturday,Walk-in,Small,Custom,Artist D
51,Male,Saturday,Walk-in,Large,Script,Artist A
35,Female,Friday,Pre-booked,Medium,Minimalist,Artist B
30,Female,Thursday,Walk-in,Small,Custom,Artist B
40,Male,Saturday,Pre-booked,Sleeve/Back,Minimalist,Artist A
35,Male,Monday,Pre-booked,Large,Minimalist,Artist C
31,Female,Saturday,Walk-in,Small,Script,Artist A
52,Male,Thursday,Walk-in,Medium,Custom,Artist A
46,Male,Thursday,Walk-in,Small,Minimalist,Artist B
43,Male,Monday,Pre-booked,Large,Minimalist,Artist B
22,Female,Thursday,Pre-booked,Sleeve/Back,Script,Artist D
57,Male,Tuesday,Pre-booked,Medium,Minimalist,Artist C
41,Male,Thursday,Pre-booked,Medium,Realism,Artist A
56,Male,Tuesday,Walk-in,Small,Script,Artist C
56,Male,Friday,Walk-in,Medium,Custom,Artist D
21,Male,Tuesday,Pre-booked,Medium,Custom,Artist A
18,Male,Saturday,Walk-in,Small,Custom,Artist C
40,Female,Tuesday,Pre-booked,Sleeve/Back,Custom,Artist E
34,Male,Tuesday,Walk-in,Medium,Minimalist,Artist C
24,Male,Monday,Pre-booked,Medium,Custom,Artist A
29,Female,Monday,Walk-in,Large,Script,Artist E
26,Female,Saturday,Pre-booked,Sleeve/Back,Realism,Artist A
28,Male,Sunday,Pre-booked,Large,Minimalist,Artist A
46,Female,Saturday,Walk-in,Medium,Minimalist,Artist A
57,Female,Monday,Walk-in,Sleeve/Back,Realism,Artist B
52,Female,Wednesday,Pre-booked,Sleeve/Back,Realism,Artist C
46,Male,Thursday,Walk-in,Sleeve/Back,Script,Artist A
54,Male,Friday,Walk-in,Large,Custom,Artist B
29,Male,Thursday,Pre-booked,Sleeve/Back,Custom,Artist B
48,Female,Sunday,Walk-in,Large,Script,Artist E
43,Female,Wednesday,Walk-in,Medium,Custom,Artist B
46,Female,Wednesday,Walk-in,Small,Minimalist,Artist E
47,Male,Monday,Pre-booked,Large,Custom,Artist C
45,Male,Wednesday,Pre-booked,Medium,Minimalist,Artist D
41,Male,Sunday,Walk-in,Small,Custom,Artist D
18,Female,Wednesday,Walk-in,Small,Minimalist,Artist C
38,Female,Thursday,Pre-booked,Large,Minimalist,Artist A
37,Male,Thursday,Pre-booked,Sleeve/Back,Script,Artist A
29,Male,Sunday,Pre-booked,Medium,Script,Artist E
36,Male,Sunday,Walk-in,Medium,Script,Artist C
44,Female,Sunday,Walk-in,Medium,Custom,Artist A
22,Female,Thursday,Walk-in,Large,Script,Artist D
52,Female,Thursday,Pre-booked,Small,Realism,Artist C
29,Female,Wednesday,Walk-in,Large,Minimalist,Artist D
28,Male,Monday,Pre-booked,Large,Script,Artist B
23,Female,Tuesday,Pre-booked,Large,Realism,Artist B
56,Male,Monday,Pre-booked,Small,Realism,Artist E
54,Male,Monday,Walk-in,Large,Minimalist,Artist E
34,Female,Thursday,Walk-in,Sleeve/Back,Script,Artist D
56,Female,Thursday,Walk-in,Medium,Realism,Artist B
24,Male,Sunday,Pre-booked,Large,Script,Artist B
53,Female,Tuesday,Pre-booked,Medium,Custom,Artist B
26,Female,Saturday,Pre-booked,Small,Custom,Artist A
32,Female,Tuesday,Pre-booked,Medium,Custom,Artist C
53,Female,Monday,Pre-booked,Medium,Realism,Artist A
44,Female,Monday,Pre-booked,Medium,Realism,Artist A
31,Male,Friday,Pre-booked,Small,Custom,Artist E
37,Female,Sunday,Pre-booked,Large,Script,Artist E
45,Female,Wednesday,Walk-in,Large,Custom,Artist A
42,Male,Friday,Walk-in,Small,Realism,Artist A
18,Male,Friday,Pre-booked,Small,Custom,Artist B
44,Female,Friday,Pre-booked,Large,Custom,Artist E
36,Female,Thursday,Pre-booked,Large,Custom,Artist D
59,Female,Sunday,Walk-in,Medium,Minimalist,Artist C
29,Male,Wednesday,Walk-in,Small,Custom,Artist C
57,Female,Saturday,Pre-booked,Medium,Script,Artist B
23,Male,Sunday,Walk-in,Small,Custom,Artist E
58,Female,Wednesday,Walk-in,Medium,Custom,Artist E
36,Female,Saturday,Pre-booked,Small,Realism,Artist D
51,Male,Tuesday,Walk-in,Small,Realism,Artist A
55,Female,Sunday,Walk-in,Medium,Custom,Artist B
34,Female,Thursday,Walk-in,Sleeve/Back,Script,Artist D
45,Male,Wednesday,Walk-in,Small,Custom,Artist D
22,Female,Tuesday,Walk-in,Sleeve/Back,Realism,Artist B
43,Female,Thursday,Walk-in,Medium,Script,Artist D
55,Female,Friday,Walk-in,Sleeve/Back,Minimalist,Artist A
46,Male,Thursday,Walk-in,Small,Realism,Artist D
30,Male,Monday,Walk-in,Sleeve/Back,Minimalist,Artist B
50,Male,Saturday,Pre-booked,Sleeve/Back,Minimalist,Artist E
20,Female,Tuesday,Walk-in,Sleeve/Back,Script,Artist A
43,Male,Monday,Pre-booked,Large,Minimalist,Artist D
33,Female,Monday,Pre-booked,Small,Minimalist,Artist E
24,Female,Sunday,Pre-booked,Large,Realism,Artist A
22,Male,Saturday,Walk-in,Small,Minimalist,Artist C
27,Male,Wednesday,Walk-in,Sleeve/Back,Realism,Artist C
38,Female,Sunday,Pre-booked,Sleeve/Back,Minimalist,Artist A
59,Female,Thursday,Walk-in,Medium,Script,Artist E
18,Female,Sunday,Walk-in,Large,Minimalist,Artist E
40,Female,Friday,Walk-in,Sleeve/Back,Minimalist,Artist A
26,Female,Monday,Pre-booked,Small,Custom,Artist E
53,Male,Thursday,Walk-in,Large,Realism,Artist D
43,Female,Friday,Pre-booked,Large,Realism,Artist C
34,Female,Tuesday,Pre-booked,Sleeve/Back,Realism,Artist A
58,Male,Monday,Pre-booked,Sleeve/Back,Script,Artist A
31,Male,Saturday,Pre-booked,Small,Minimalist,Artist E
43,Male,Thursday,Pre-booked,Sleeve/Back,Realism,Artist A
26,Male,Sunday,Walk-in,Sleeve/Back,Custom,Artist C
53,Female,Friday,Walk-in,Large,Custom,Artist A
28,Female,Sunday,Walk-in,Large,Script,Artist B
59,Male,Sunday,Pre-booked,Sleeve/Back,Minimalist,Artist C
20,Male,Wednesday,Walk-in,Medium,Script,Artist A
30,Male,Monday,Walk-in,Sleeve/Back,Minimalist,Artist E
46,Female,Friday,Walk-in,Sleeve/Back,Script,Artist A
45,Male,Saturday,Pre-booked,Sleeve/Back,Custom,Artist D
18,Male,Monday,Pre-booked,Sleeve/Back,Realism,Artist B
18,Female,Friday,Walk-in,Sleeve/Back,Custom,Artist E
21,Female,Wednesday,Walk-in,Small,Realism,Artist B
55,Female,Saturday,Walk-in,Medium,Custom,Artist D
46,Male,Wednesday,Walk-in,Medium,Custom,Artist E
42,Male,Thursday,Walk-in,Sleeve/Back,Script,Artist E
58,Female,Monday,Pre-booked,Sleeve/Back,Realism,Artist E
19,Female,Wednesday,Walk-in,Small,Minimalist,Artist B
25,Female,Tuesday,Walk-in,Sleeve/Back,Custom,Artist A
33,Male,Friday,Pre-booked,Large,Minimalist,Artist E
41,Male,Friday,Pre-booked,Sleeve/Back,Minimalist,Artist A
55,Female,Monday,Walk-in,Small,Minimalist,Artist E
24,Male,Thursday,Walk-in,Medium,Script,Artist B
51,Female,Saturday,Pre-booked,Large,Script,Artist C
30,Female,Tuesday,Walk-in,Medium,Minimalist,Artist A
53,Female,Sunday,Pre-booked,Medium,Script,Artist B
28,Male,Thursday,Walk-in,Sleeve/Back,Script,Artist E
46,Female,Tuesday,Walk-in,Medium,Realism,Artist A
25,Male,Wednesday,Walk-in,Medium,Realism,Artist C
38,Male,Monday,Pre-booked,Small,Realism,Artist C
58,Female,Tuesday,Pre-booked,Sleeve/Back,Script,Artist B
49,Male,Sunday,Pre-booked,Small,Custom,Artist B
36,Male,Tuesday,Walk-in,Small,Custom,Artist B
50,Female,Tuesday,Pre-booked,Large,Custom,Artist C
46,Female,Tuesday,Walk-in,Medium,Minimalist,Artist C
19,Female,Tuesday,Pre-booked,Large,Realism,Artist E
36,Male,Tuesday,Pre-booked,Large,Minimalist,Artist D
38,Female,Monday,Pre-booked,Sleeve/Back,Minimalist,Artist E
39,Male,Friday,Walk-in,Small,Realism,Artist B
34,Female,Tuesday,Pre-booked,Large,Minimalist,Artist D
24,Female,Friday,Pre-booked,Medium,Minimalist,Artist D
41,Male,Sunday,Pre-booked,Sleeve/Back,Custom,Artist C
45,Male,Tuesday,Pre-booked,Medium,Custom,Artist A
31,Male,Wednesday,Pre-booked,Sleeve/Back,Custom,Artist B
56,Female,Tuesday,Pre-booked,Large,Custom,Artist B
44,Female,Thursday,Pre-booked,Small,Minimalist,Artist E
42,Female,Wednesday,Pre-booked,Medium,Script,Artist A
57,Male,Tuesday,Walk-in,Large,Minimalist,Artist B
41,Female,Monday,Walk-in,Medium,Minimalist,Artist A
40,Female,Wednesday,Walk-in,Large,Minimalist,Artist B
58,Male,Tuesday,Walk-in,Sleeve/Back,Custom,Artist B
20,Female,Friday,Pre-booked,Medium,Realism,Artist E
56,Male,Tuesday,Walk-in,Large,Realism,Artist B
30,Female,Friday,Pre-booked,Sleeve/Back,Minimalist,Artist C
24,Male,Wednesday,Walk-in,Small,Realism,Artist C
29,Female,Saturday,Walk-in,Sleeve/Back,Minimalist,Artist A
31,Female,Saturday,Walk-in,Medium,Script,Artist D
50,Male,Monday,Pre-booked,Sleeve/Back,Custom,Artist E
51,Male,Tuesday,Walk-in,Small,Custom,Artist C
55,Male,Wednesday,Pre-booked,Medium,Script,Artist E
51,Male,Sunday,Walk-in,Large,Minimalist,Artist A
37,Male,Monday,Walk-in,Small,Realism,Artist E
18,Male,Sunday,Walk-in,Small,Script,Artist B
37,Male,Wednesday,Walk-in,Large,Realism,Artist B
47,Female,Sunday,Pre-booked,Small,Minimalist,Artist D
58,Male,Monday,Walk-in,Large,Script,Artist D
36,Male,Sunday,Walk-in,Large,Script,Artist E
52,Female,Wednesday,Pre-booked,Large,Script,Artist C
41,Female,Sunday,Pre-booked,Medium,Minimalist,Artist E
43,Female,Monday,Walk-in,Small,Minimalist,Artist E
24,Male,Sunday,Pre-booked,Large,Realism,Artist C
53,Female,Tuesday,Pre-booked,Sleeve/Back,Custom,Artist B
34,Male,Thursday,Pre-booked,Sleeve/Back,Realism,Artist C
50,Female,Sunday,Walk-in,Large,Script,Artist B
19,Female,Friday,Pre-booked,Sleeve/Back,Minimalist,Artist B
52,Male,Sunday,Walk-in,Small,Custom,Artist A
21,Male,Wednesday,Pre-booked,Sleeve/Back,Script,Artist C
59,Female,Saturday,Walk-in,Small,Script,Artist C
38,Female,Friday,Walk-in,Large,Custom,Artist B
21,Male,Friday,Walk-in,Large,Custom,Artist E
39,Female,Monday,Pre-booked,Large,Script,Artist A
18,Male,Wednesday,Pre-booked,Medium,Minimalist,Artist D
33,Male,Friday,Pre-booked,Medium,Script,Artist D
54,Male,Saturday,Walk-in,Medium,Script,Artist C
54,Female,Monday,Walk-in,Sleeve/Back,Realism,Artist E
38,Male,Saturday,Walk-in,Medium,Minimalist,Artist A
41,Male,Thursday,Walk-in,Medium,Realism,Artist A
47,Male,Friday,Walk-in,Small,Realism,Artist D
55,Female,Saturday,Walk-in,Small,Realism,Artist C
31,Male,Saturday,Walk-in,Small,Realism,Artist C
29,Male,Wednesday,Pre-booked,Sleeve/Back,Script,Artist C
54,Female,Friday,Pre-booked,Small,Realism,Artist D
19,Male,Monday,Pre-booked,Medium,Custom,Artist A
40,Female,Wednesday,Walk-in,Large,Script,Artist C
33,Male,Wednesday,Walk-in,Sleeve/Back,Script,Artist A
29,Female,Monday,Pre-booked,Sleeve/Back,Custom,Artist D
35,Female,Saturday,Pre-booked,Large,Custom,Artist E
35,Male,Friday,Pre-booked,Sleeve/Back,Script,Artist A
33,Male,Sunday,Walk-in,Medium,Script,Artist D
43,Male,Thursday,Walk-in,Small,Minimalist,Artist D
31,Female,Sunday,Pre-booked,Sleeve/Back,Minimalist,Artist A
31,Female,Tuesday,Pre-booked,Sleeve/Back,Minimalist,Artist E
28,Male,Sunday,Pre-booked,Sleeve/Back,Minimalist,Artist A
